Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVIND76Logic.json	1117	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	213	25	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND77Logic.json	1099	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	202	24	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND78Logic.json	1181	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	203	23	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND79Logic.json	1163	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	190	23	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND7Logic.json	1076	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	199	24	1	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND80Logic.json	1170	3	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	153	20	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND81Logic.json	1152	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	140	20	0	0	0	0	5	0	0
fsh-generated/resources/Library-HIVIND82Logic.json	1144	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	153	21	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND83Logic.json	1182	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	154	20	0	0	0	0	7	0	0
fsh-generated/resources/Library-HIVIND84Logic.json	1164	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	140	20	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND85Logic.json	1141	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	245	27	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND86Logic.json	1123	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	186	24	0	0	0	0	8	0	1
fsh-generated/resources/Library-HIVIND87Logic.json	1115	3	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	255	27	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND88Logic.json	1158	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	195	23	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND89Logic.json	1140	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	146	20	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND8Logic.json	1085	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	137	19	0	0	0	0	6	0	0
fsh-generated/resources/Library-HIVIND90Logic.json	1088	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	259	26	0	0	0	0	13	0	0
fsh-generated/resources/Library-HIVIND91Logic.json	1146	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	194	23	0	0	0	0	9	0	0
fsh-generated/resources/Library-HIVIND92Logic.json	1121	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	312	30	0	0	0	0	16	0	0
fsh-generated/resources/Library-HIVIND93Logic.json	1097	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	115	18	0	0	0	0	4	0	0
fsh-generated/resources/Library-HIVIND94Logic.json	1115	3	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	188	23	0	0	0	0	10	0	0
fsh-generated/resources/Library-HIVIND95Logic.json	1077	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	168	21	0	0	0	0	8	0	0
